epoch,train_loss_list,train_acc_list,val_loss_list,val_acc_list,time_elapsed
1,1.1322384452621141,0.5663541666666667,0.7380983785788218,0.7175,0m14s
2,0.6564256032804648,0.747875,0.6086557392676671,0.762,0m31s
3,0.5525904554824035,0.7877916666666667,0.5268431254227957,0.79725,0m47s
4,0.49038626768191657,0.8156875,0.4666988424062729,0.8260833333333333,1m3s
5,0.4523331335236629,0.8325833333333333,0.44309797263145445,0.83775,1m20s
6,0.4244267283578714,0.841875,0.43035986216863,0.839,1m36s
7,0.4022747322320938,0.8515833333333334,0.41563609235485394,0.8419166666666666,1m53s
8,0.38506639080742994,0.8570416666666667,0.39992234243949254,0.846,2m9s
9,0.3669041439096133,0.8633333333333333,0.3773025939067205,0.8605,2m26s
10,0.3520093306203683,0.8686666666666667,0.359585705558459,0.8675,2m42s
